From	To
261	430
261	494
261	539
261	542
261	543
261	544
261	546
261	619
263	187
263	505
263	507
263	542
263	546
266	GSK3B
266	313
266	401
266	457
266	505
266	507
266	542
270	25
270	272
270	273
270	329
270	352
270	366
270	377
270	445
270	457
270	507
270	536
270	542
270	543
270	588
270	617
271	272
271	445
272	24
272	273
272	445
272	521
272	546
272	588
273	5
273	279
273	352
273	445
273	473
273	514
273	542
273	594
277	275
274	275
274	SFN
275	466
279	329
279	418
279	445
279	473
279	475
279	507
279	588
286	5
286	310
286	328
286	377
286	380
286	389
286	404
286	427
286	430
286	494
286	530
286	539
286	542
286	543
286	544
286	546
286	570
286	574
289	77
289	129
289	231
289	343
289	344
289	371
289	523
289	588
292	389
294	92
294	145
294	186
294	404
294	405
294	435
295	43
295	92
295	277
295	313
295	329
295	331
295	435
295	457
295	494
295	507
295	542
295	544
295	556
295	588
298	299
298	542
298	567
299	567
299	594
303	13
303	92
303	231
303	295
303	507
303	624
304	295
305	43
305	294
305	295
305	331
305	383
305	435
305	466
305	556
305	588
310	5
310	25
310	328
310	380
310	445
310	494
310	539
310	542
310	544
310	546
310	619
312	472
312	473
312	474
312	475
312	476
312	612
313	323
313	329
315	187
315	266
315	295
315	331
315	435
315	504
315	588
323	329
328	5
328	380
328	427
328	505
328	507
328	539
328	542
328	544
328	546
328	570
328	619
332	13
332	28
332	BTRC
332	77
332	331
332	457
332	535
332	594
336	13
336	71
336	97
336	133
336	238
336	332
337	13
337	65
337	174
337	241
337	331
337	332
337	457
337	466
337	535
337	588
337	594
339	13
339	331
339	332
339	457
339	594
343	344
343	507
347	49
347	59
347	187
347	228
347	229
347	329
347	330
347	331
347	457
347	511
347	535
347	544
347	546
347	588
349	217
349	294
349	594
352	163
352	166
352	446
356	286
358	394
359	13
359	66
359	186
359	212
359	217
359	219
359	328
359	431
359	435
359	463
362	126
362	131
362	273
366	505
366	507
366	511
366	542
366	548
366	594
369	26
369	28
369	129
369	343
369	344
370	551
371	329
371	377
371	507
371	536
371	542
371	546
371	552
372	505
373	507
373	514
373	546
373	551
377	507
377	542
380	5
380	427
380	505
380	507
380	539
380	542
380	544
380	546
380	619
382	40
382	62
382	118
383	25
383	457
389	435
389	507
396	397
396	546
398	542
398	544
398	546
401	47
401	129
401	GSK3B
401	402
401	404
401	457
404	539
404	546
405	213
405	261
405	404
405	463
416	424
418	419
418	420
418	422
418	423
418	424
418	425
419	420
419	422
419	424
419	425
420	112
420	422
420	423
420	424
420	425
423	114
423	422
423	424
423	425
424	422
424	425
424	457
424	552
424	594
425	422
422	19
422	416
427	5
427	494
427	539
427	542
427	543
427	544
427	546
430	25
430	402
430	539
430	542
430	546
430	550
430	619
434	13
434	29
434	70
434	129
434	165
434	295
433	165
435	507
437	198
437	219
437	238
437	349
437	404
437	405
437	473
437	477
437	488
437	494
437	539
440	331
440	457
440	535
440	588
441	65
441	135
441	174
441	217
441	331
441	466
441	588
441	594
443	5
443	92
443	122
443	198
443	261
443	286
443	320
443	435
443	442
443	445
443	463
445	227
445	446
445	457
445	551
448	79
448	98
448	396
448	397
449	98
449	396
450	182
453	457
453	535
454	126
454	127
454	181
454	227
454	228
454	231
454	289
454	331
454	343
454	344
454	523
454	536
455	17
455	631
457	408
457	507
457	535
457	539
457	542
457	544
457	546
457	588
461	67
461	174
461	182
461	515
463	402
463	505
463	507
463	570
465	13
465	92
465	427
465	435
465	463
465	539
466	332
466	542
466	594
467	94
467	GSK3B
467	331
467	404
467	405
467	627
468	607
471	394
471	395
471	396
471	397
473	475
474	475
479	173
484	72
484	82
484	118
484	122
484	198
484	217
484	219
484	286
484	380
484	412
484	539
484	544
486	94
486	539
486	609
487	26
487	BTRC
487	129
487	131
487	178
487	GSK3B
487	455
487	503
487	504
487	608
490	25
490	408
494	539
498	13
498	166
498	198
498	219
498	238
498	261
498	310
498	380
498	427
498	431
498	542
498	544
500	13
500	43
500	398
500	457
503	BTRC
503	74
503	94
503	99
503	129
503	178
503	331
503	418
503	455
503	504
505	115
505	352
505	445
505	507
505	535
505	550
505	570
505	574
505	588
505	617
505	618
507	329
507	352
507	408
507	445
507	535
507	536
507	542
507	543
507	544
507	550
507	570
507	574
507	588
507	607
507	617
512	77
512	99
512	227
512	323
512	330
512	511
512	513
512	514
512	515
512	588
512	618
513	191
513	227
513	228
513	229
513	330
513	366
513	511
513	617
514	511
514	513
517	126
517	330
523	98
523	323
523	343
523	344
523	453
523	507
523	617
524	163
524	234
524	435
524	525
524	527
526	5
526	13
526	98
526	122
526	198
526	261
526	286
526	466
526	539
527	261
530	546
535	536
535	543
535	544
535	552
536	542
538	284
539	25
539	542
539	543
539	544
539	546
539	619
540	112
540	115
540	219
542	5
542	329
542	362
542	435
542	445
542	543
542	544
542	546
542	588
542	617
543	5
543	544
543	546
544	77
544	323
544	372
544	435
546	5
546	352
546	435
546	544
546	570
546	617
550	570
551	511
551	552
551	631
554	146
554	331
554	594
556	236
556	330
556	331
556	341
556	466
556	574
556	594
558	556
558	594
558	617
568	88
570	445
570	572
570	574
578	175
578	229
579	129
584	65
584	66
584	174
584	261
584	331
584	349
584	457
584	466
584	542
584	594
585	123
585	331
585	466
585	542
585	594
588	115
588	352
588	445
594	352
594	619
601	26
601	28
601	129
601	323
601	330
601	455
601	466
601	594
601	606
603	66
603	210
604	BTRC
604	72
604	131
604	455
604	550
604	551
604	609
605	370
605	398
605	445
609	227
609	299
609	451
609	485
609	588
609	606
609	607
609	608
611	77
611	551
611	552
612	473
617	544
618	402
619	5
619	25
619	118
619	435
619	494
619	524
619	544
624	202
626	5
626	73
626	122
626	130
626	198
626	286
626	295
626	435
626	539
627	362
629	466
629	544
629	608
630	457
630	466
