From	To
P204	LYN
PAF53	POLR1B
PAK1	5
PAK1	19
PAK1	58
PAK1	68
PAK1	GRB10
PAK1	71
PAK1	NCK2
PAK1	PXN
PAK1	RAC1
PAK1	132
105	40
105	CUL1
105	90
PCAF	SMAD1
PCAF	146
PCAF	148
PCAF	STAT1
PCAF	STK11
PCAF	TRAF2
106	APH1A
106	APP
106	42
106	NOTCH2
106	102
PFDN2	163
PIAS1	NCOA3
PIAS1	107
PIAS1	146
PIAS1	SPEN
PIAS1	STAT1
PIAS1	161
PIAS1	SUMO2
PIAS3	SMAD1
PIAS4	146
PIAS4	149
PIAS4	161
PIAS4	163
107	146
107	STAT1
PIK3R2	3
PIK3R2	121
PIK3R2	SMAD1
PIK3R2	146
PIK3R2	SRC
PIK3R2	STAT1
PIK3R2	160
PIK3R2	161
PIK3R2	WASL
PITPN	14
PITPN	18
PITPN	36
109	APC
109	129
PLD2	RAC1
PLD2	146
POLR2H	POLR2L
POLR2H	161
PPP2CA	STAT1
PPP2CA	160
PPP2CA	161
112	BAD
112	42
112	GSK3B
112	113
112	PRKCA
112	129
PRKCA	SRC
PRKCA	161
PRKCB	69
PRKCB	JAK1
PRKCB	PRKCA
PRKCB	132
115	PSMD4
PSMC2	117
PSMC2	118
PSMC2	119
PSMC2	120
PSMC2	PSMD4
PSMC2	PSMD7
117	118
117	119
117	PSMD4
117	PSMD7
118	35
118	119
118	120
118	PSMD4
118	PSMD7
120	COPS3
120	119
120	PSMD4
120	PSMD7
PSMD4	119
PSMD4	PSMD7
PSMD4	129
PSMD4	SUMO2
PSMD4	TRAF2
PSMD7	119
119	7
119	115
121	3
121	144
121	SRC
121	STAT1
121	159
121	160
121	161
122	APC
122	113
122	SRC
122	STAT1
122	161
122	162
122	WASL
RAB5	5
RAB5	APPL2
RAB5	21
RAB5	42
RAB5	52
RAB5	MAPK14
123	52
RAC1	146
124	62
124	71
124	HRAS
124	NSMAF
124	PRKCA
124	PRKCB
124	135
124	137
124	142
124	144
124	SRC
125	99
125	129
125	SP1
125	TP53
RAIDD	CASP2
RAIDD	46
RAIDD	FADD
RAIDD	GRB10
RAIDD	99
RAIDD	RIPK1
RAIDD	TP53
RAIDD	TRAF2
RALBP1	3
RALBP1	27
RALBP1	37
RALBP1	62
RALBP1	JAK1
RALBP1	LYN
RALBP1	MTIF2
RALBP1	RAC1
RALBP1	RALB
RALBP1	126
RALBP1	132
126	72
126	RANBP9
126	129
126	163
RAP30	24
RAP30	CDK9
RAP30	POLR2H
RAP30	POLR2L
127	CDK9
127	POLR2H
RB	FHL2
RBL2	129
RBL2	SP1
RBPSUH	40
RBPSUH	41
RBPSUH	FHL1
RBPSUH	72
RBPSUH	HDAC2
RBPSUH	HES1
RBPSUH	92
RBPSUH	99
RBPSUH	NOTCH2
RBPSUH	102
RBPSUH	155
RBPSUH	SPEN
128	ANAPC2
128	ZNF259
129	PRKCI
129	146
129	SP1
129	SRC
129	STAT1
129	160
129	161
129	TP53
131	20
131	FADD
131	FHL2
131	150
132	113
132	SMAD1
132	146
132	167
RIP2	5
RIP2	27
RIP2	121
RIP2	RAC1
RIP2	132
RIP2	SRC
RIPK1	NFKB2
RIPK1	STAT1
RIPK1	TRAF2
133	CDK2
133	GSK3B
133	99
133	PRKCA
133	PRKCB
133	YY1
RNF4	180
RPA5	POLR1B
RPA5	POLR1D
RPA5	POLR2H
RPA5	POLR2L
135	136
RPL6	136
RSK2	ETS1
139	CBL
139	CD44
139	36
139	37
139	62
139	GRB10
139	71
139	LYN
139	PIK3R2
139	114
139	SRC
139	160
SAP97	CDK2
SAP97	SRC
SAP97	UBE3A
SCF	APH1A
SCF	BTRC
SCF	42
SCF	CUL1
SCF	FBXW7
SCF	GSK3B
SCF	128
SCF	SKP1
SCF	SKP2
SCF	181
143	APC
143	PRKCI
144	SRC
SHP2	5
SHP2	ERBB2
SHP2	62
SHP2	71
SHP2	HRAS
SHP2	JAK1
SHP2	MET
SHP2	PIK3R2
SHP2	121
SHP2	PXN
SHP2	STAT1
SHP2	160
SINK	5
SINK	ATF2
SINK	PPP2CA
SINK	129
SKP1	BTRC
SKP1	CCNA2
SKP1	CDK2
SKP1	29
SKP1	42
SKP1	FBXW7
SKP1	99
SKP1	PSMC2
SKP1	128
SKP1	SKP2
SMAD1	COPS5
SMAD1	NUP153
SMAD1	126
SMAD1	146
SMAD1	SP1
SMAD1	162
SMAD1	167
SMAD1	169
SMAD1	TP53
SMAD1	185
SMAD1	186
146	NCOA3
146	NUP153
146	PRKCI
146	126
146	SP1
146	SPEN
146	STAT1
146	159
146	160
146	162
146	167
146	169
146	TP53
146	180
146	185
SMARCB1	23
SMARCB1	29
SMARCB1	72
SMARCB1	MYC
SMARCB1	98
SMARCB1	148
SMARCB1	SMARCC1
SMARCB1	149
SMARCB1	150
SMARCB1	TP53
SMARCB1	186
SMARCC1	60
SMARCC1	72
SMARCC1	HDAC2
SMARCC1	73
SMARCC1	98
SMARCC1	PCAF
SMARCC1	148
SMARCC1	185
149	148
149	SMARCC1
SMRT	40
SMRT	98
155	CDK9
155	MYC
155	NOTCH2
155	102
155	RBL2
155	146
155	185
156	EPS15
156	75
156	RAC1
156	SNX2
156	157
SNX4	3
SNX4	5
SNX4	CDK9
SNX4	37
SNX4	62
SNX4	JAK1
SNX4	LYN
SNX4	RIPK1
SNX4	SRC
157	JAK1
158	161
SP1	SPEN
SP1	159
SP1	160
SP1	SUMO2
SPEN	STAT1
SPRY2	LRP1
SRC	APC
SRC	STAT1
SRC	159
SRC	160
SRC	161
SRC	WASL
STAMBPL1	35
STAMBPL1	COPS5
STAMBPL1	71
STAT1	3
STAT1	NCOA3
STAT1	105
STAT1	RAC1
STAT1	126
STAT1	159
STAT1	160
STAT1	161
STAT1	TP53
STAT1	185
159	3
159	160
159	161
160	23
160	MYC
160	PIAS3
160	RAC1
161	3
161	NUP153
161	RAC1
161	160
161	167
161	185
162	167
163	148
163	SUMO2
163	ZNF259
T2BP	DVL2
T2BP	99
T2BP	TRAF2
TAB2	HIPK2
TAB2	98
TAB2	99
TAB2	NLK
TAB2	RIPK1
TAB2	169
TAB2	TRAF2
TAK1	TAB2
TAK1	TRAF2
TAK1	185
TFDP2	CDC25C
167	126
167	TGFB3
167	169
TIEG2	54
TIEG2	73
170	42
171	CASP2
171	19
171	FADD
171	JAK1
171	99
171	NSMAF
171	129
171	RIPK1
171	STAT1
171	TRAF2
172	38
172	99
172	RIPK1
172	STAT1
172	TRAF2
TP53	COPS5
TP53	NUP153
TP53	126
TRAF2	NUP153
TRAF2	WASL
177	APH1A
177	APP
177	42
177	MYC
177	98
177	128
177	RIPK1
177	TRAF2
177	179
UBC9	19
UBC9	67
UBCH5B	BTRC
UBCH5B	CBL
UBCH5B	CUL1
UBCH5B	128
UBCH5B	162
UBCH5B	163
UBCH5B	UBE3A
178	PFDN2
178	PPP2CA
178	126
UBE3A	72
UBE3A	MCM7
UBE3A	RBBP7
UBE3A	140
UBE3A	TP53
UBE3A	179
UBE3A	180
UBE3A	181
182	23
182	163
182	SUMO2
UXT	135
185	160
186	113
WASL	3
WASL	APC
WASL	36
WASL	RAC1
WASL	144
WASL	156
WASL	160
188	FZD7
YES	3
YES	CBLB
YES	37
YES	43
YES	62
YES	LYN
YES	MAPK14
YES	RAC1
YES	SRC
YY1	105
190	RIPK1
190	160
190	181
191	129
191	RIPK1
