From	To
ERK1	257
ERK1	260
ERK1	SP1
ERK1	SRC
ERK1	274
ERK1	275
ERK1	STAT5B
ERK1	294
ERK1	309
ERK1	WASL
91	AKT1
91	CBL
91	34
91	44
91	60
91	87
91	FYN
91	118
91	123
91	143
91	JUNB
91	202
91	213
91	SMAD1
91	257
91	274
91	STAT2
91	275
91	STAT5B
91	294
ERM	35
ERM	PKN1
ERM	PRKACA
ERM	201
93	101
93	123
93	JUNB
93	144
93	226
93	SMAD1
93	257
93	274
93	275
94	FYN
94	133
94	KRT18
94	NFKB2
94	RIPK1
94	275
94	STAT5B
FAF1	123
FAF1	124
FANCD2	171
FANCD2	294
95	ITGB4BP
95	PRMT1
95	212
FBXW7	RBX1
FHL2	35
FHL2	65
FHL2	HIPK2
FHL2	173
FHL2	PTK2
FHL2	257
FHL2	294
97	CCNB1
97	FYN
98	85
98	FZR1
98	257
100	FYN
100	176
101	123
101	124
101	JUNB
101	171
101	201
101	229
101	RIPK1
101	SMAD1
101	257
101	SP1
101	274
101	275
101	STAT5B
101	309
FOXO1A	11
FOXO1A	144
FOXO1A	PIAS1
FOXO1A	SMAD1
FOXO1A	257
FOXO1A	274
FYN	11
FYN	42
FYN	112
FYN	116
FYN	118
FYN	HD
FYN	126
FYN	133
FYN	143
FYN	KRT18
FYN	LYN
FYN	164
FYN	NCK2
FYN	PIK3R2
FYN	PKN1
FYN	199
FYN	201
FYN	PTK2
FYN	215
FYN	219
FYN	229
FYN	239
FYN	249
FYN	270
FYN	SRC
FYN	274
FYN	STAT2
FYN	275
FYN	STAT5B
FYN	287
FYN	288
FYN	310
FYN	WASL
104	312
105	312
FZR1	CDC25C
FZR1	135
108	229
108	239
110	14
110	170
110	193
111	130
111	170
111	217
GIPC	AKT1
GIPC	55
GIPC	70
GIPC	86
GIPC	104
GIPC	ITGA6
GIPC	201
GIPC	219
GIT1	118
GIT1	147
GIT1	157
GIT1	NUP153
112	LYN
115	ERBB2
115	FYN
115	143
115	LYN
115	274
115	STAT5B
118	42
118	116
118	143
118	LYN
118	164
118	NCK2
118	PIK3R2
118	201
118	202
118	PTK2
118	215
118	219
118	RANBP9
118	229
118	249
118	SRC
118	274
118	STAT2
118	275
118	STAT5B
118	WASL
116	4
116	143
116	LYN
116	164
116	NCK2
116	PIK3R2
116	PTK2
116	SRC
116	274
116	275
116	STAT5B
120	275
121	225
122	E2F4
122	125
122	260
HD	123
HD	144
HD	257
HD	274
HD	WASL
123	11
123	124
123	125
123	144
123	172
123	183
123	196
123	229
123	257
123	263
123	SP1
123	SPEN
123	274
123	STAT2
123	STAT5B
123	294
123	YY1
124	155
124	156
124	157
124	229
124	SP1
124	274
124	STAT2
124	STAT5B
124	294
125	ITGB4BP
126	ID1
126	134
126	135
126	136
126	JUNB
126	LYN
126	170
126	171
126	274
126	STAT5B
126	284
128	143
128	147
128	PRKACA
128	224
128	SMAD1
128	257
128	SNRPD2
128	277
130	4
130	55
130	CRK
130	88
130	SRC
130	WASL
HIPK2	257
HIPK2	279
131	8
131	CBL
131	41
131	56
131	CSK
131	123
131	124
131	133
131	155
131	NUP153
131	229
131	274
131	STAT5B
131	STUB1
131	278
131	279
132	10
132	133
132	146
132	155
132	NUP153
132	RUVBL1
132	278
133	11
133	55
133	LYN
133	NUP153
133	202
133	224
133	274
133	STAT5B
133	STUB1
133	WASL
ID1	134
ID1	135
ID1	136
134	135
134	165
134	170
134	171
135	136
135	165
135	170
135	171
135	284
136	284
138	30
138	FAF1
138	101
138	FYN
138	123
138	124
138	144
138	PCAF
138	199
138	PRKACA
138	229
138	SP1
138	274
138	275
138	STAT5B
IKBKAP	62
139	CSK
139	CTBP1
139	144
139	229
139	257
139	274
ITGB4BP	198
ITGB4BP	237
ITGB4BP	239
ITGB4BP	WDR12
143	4
143	LYN
143	164
143	NCK2
143	PIK3R2
143	PTK2
143	215
143	249
143	SRC
143	274
143	STAT2
143	275
143	STAT5B
143	WASL
JNK1	101
JNK1	SMAD1
JNK1	257
JNK1	274
JNK1	STAT5B
JUNB	GSK3B
JUNB	165
JUNB	PRKACA
JUNB	229
JUNB	SMAD1
JUNB	257
JUNB	274
144	11
144	146
144	147
144	171
144	NUP153
144	PCAF
144	PIK3CD
144	224
144	229
144	257
144	SPEN
144	274
144	STAT2
144	294
144	309
145	146
145	224
146	10
146	147
146	224
146	264
146	STAT5B
146	294
147	4
147	LAMR1
147	NUP153
147	224
147	237
147	262
147	274
147	298
150	KRT18
KRT17	KRT18
KRT17	SFN
KRT18	RIPK1
LAMR1	171
LAMR1	207
LAMR1	224
LAMR1	237
LAMR1	239
LAMR1	257
LAMR1	294
LYN	4
LYN	164
LYN	NCK2
LYN	PIK3CD
LYN	PIK3R2
LYN	193
LYN	201
LYN	PTK2
LYN	215
LYN	249
LYN	270
LYN	SRC
LYN	274
LYN	STAT2
LYN	275
LYN	STAT5B
LYN	287
LYN	288
MAML1	35
MAML1	65
MAML1	126
MAML1	176
MAML1	NOTCH3
MAML1	PIAS1
MAML1	265
MAML1	294
MAP1B	193
154	42
154	DVL1
154	100
154	201
154	PRKCB
154	219
155	ATF2
155	42
155	150
155	165
155	171
155	173
155	219
155	229
155	249
155	257
155	274
155	275
155	TAB2
155	294
156	157
156	274
156	TFDP1
157	TFDP1
157	298
159	AKT1
159	42
159	126
159	155
159	257
159	312
MEK2	155
160	ATF2
160	154
160	155
160	173
160	PKN1
160	219
160	RIPK1
160	TAB2
160	294
164	4
164	11
164	NCK2
164	PIK3R2
164	224
164	249
164	SRC
164	274
164	275
164	STAT5B
164	WASL
MIG6	236
MIG6	237
MIG6	238
MIG6	239
MIG6	RPS11
MIG6	UXT
165	170
165	171
166	101
166	JUNB
166	155
166	173
166	219
166	SKP2
166	294
170	171
NCK2	4
NCK2	PIK3R2
NCK2	PTK2
NCK2	SMAD1
NCK2	257
NCK2	SRC
NCK2	274
NCK2	275
NCK2	STAT5B
NCK2	287
NCK2	WASL
NFKB2	AKT1
NFKB2	14
NFKB2	BTRC
NFKB2	35
NFKB2	173
NFKB2	229
NFKB2	SP1
NFKB2	298
NGAP	AKT1
NGAP	CAV2
NGAP	47
NGAP	70
NGAP	HRAS
NGAP	NFKB2
174	AKT1
174	29
174	94
174	133
174	173
174	NFKB2
174	229
174	RIPK1
174	SP1
174	294
174	298
NKIRAS1	AKT1
NKIRAS1	173
NKIRAS1	NFKB2
NKIRAS1	229
NKIRAS1	298
176	NOTCH3
176	257
178	22
178	25
178	101
178	124
178	125
178	171
178	172
178	173
178	229
178	260
178	SP1
178	275
178	STAT5B
178	294
NSMAF	116
NSMAF	154
NSMAF	298
NUP153	88
NUP153	ERBB2
NUP153	RANBP9
P204	LYN
182	198
PAK1	AKT1
PAK1	30
PAK1	100
PAK1	GIT1
PAK1	116
PAK1	118
PAK1	NCK2
PAK1	216
PAK1	219
PAK1	232
183	CTBP1
183	67
183	147
PCAF	SMAD1
PCAF	257
PCAF	260
PCAF	274
PCAF	277
PCAF	298
186	12
186	14
186	65
186	176
186	NOTCH3
PFDN2	278
PIAS1	171
PIAS1	PIK3CD
PIAS1	257
PIAS1	SPEN
PIAS1	274
PIAS1	STAT5B
PIAS1	279
187	SMAD1
PIAS4	257
PIAS4	262
PIAS4	STAT5B
PIAS4	278
PIK3CD	257
PIK3CD	274
PIK3R2	4
PIK3R2	PTK2
PIK3R2	SMAD1
PIK3R2	257
PIK3R2	SRC
PIK3R2	274
PIK3R2	275
PIK3R2	STAT5B
PIK3R2	WASL
PITPN	ARRB2
PITPN	26
PITPN	CRK
PKN1	11
PKN1	229
193	219
193	257
POLR2H	POLR2L
POLR2H	STAT5B
199	274
199	275
199	STAT5B
PRKACA	BAD
PRKACA	65
PRKACA	GSK3B
PRKACA	200
PRKACA	201
PRKACA	229
201	SRC
201	STAT5B
PRKCB	112
PRKCB	143
PRKCB	201
PRKCB	232
205	213
207	208
207	209
207	211
207	212
207	213
207	214
208	209
208	211
208	213
208	214
209	55
209	211
209	212
209	213
209	214
212	56
212	211
212	213
212	214
213	211
213	214
213	229
213	279
213	298
214	211
211	8
211	205
PTK2	4
PTK2	249
PTK2	SRC
PTK2	274
PTK2	STAT2
PTK2	275
PTK2	STAT5B
215	11
215	200
215	SRC
215	274
215	STAT5B
215	STUB1
215	WASL
218	AKT1
218	APPL2
218	33
218	65
218	90
218	155
217	90
219	257
220	FYN
220	118
220	HRAS
220	NSMAF
220	201
220	PRKCB
220	237
220	240
220	246
220	249
220	SRC
222	173
222	229
222	SP1
222	294
RAIDD	29
RAIDD	DAXX
RAIDD	94
RAIDD	116
RAIDD	173
RAIDD	RIPK1
RAIDD	294
RAIDD	298
RALBP1	4
RALBP1	42
RALBP1	CSK
RALBP1	FYN
RALBP1	143
RALBP1	LYN
RALBP1	168
RALBP1	219
RALBP1	223
RALBP1	224
RALBP1	232
224	123
224	RANBP9
224	229
224	278
RAP30	36
RAP30	CDK9
RAP30	POLR2H
RAP30	POLR2L
RAP74	CDK9
RAP74	POLR2H
RB	FHL2
226	229
226	SP1
227	CTBP1
227	CTBP2
227	96
227	123
227	124
227	126
227	MAML1
227	173
227	176
227	NOTCH3
227	265
227	SPEN
RBX1	ANAPC2
RBX1	ZNF259
229	202
229	257
229	SP1
229	SRC
229	274
229	275
229	STAT5B
229	294
231	31
231	94
231	FHL2
231	263
232	200
232	SMAD1
232	257
232	287
RIP2	AKT1
RIP2	42
RIP2	PTK2
RIP2	219
RIP2	232
RIP2	SRC
RIPK1	NFKB2
RIPK1	274
RIPK1	298
233	44
233	GSK3B
233	173
233	201
233	PRKCB
233	YY1
234	UBE2E1
235	198
235	POLR1D
235	POLR2H
235	POLR2L
237	239
238	239
241	93
242	CBL
242	37
242	CRK
242	CSK
242	FYN
242	116
242	118
242	LYN
242	PIK3R2
242	PRMT1
242	SRC
242	275
244	44
244	SRC
244	307
245	12
245	BTRC
245	65
245	67
245	FBXW7
245	GSK3B
245	RBX1
245	255
245	SKP2
245	306
247	11
247	202
249	SRC
253	AKT1
253	ERBB2
253	FYN
253	118
253	HRAS
253	143
253	164
253	PIK3R2
253	PTK2
253	216
253	274
253	275
SINK	AKT1
SINK	ATF2
SINK	199
SINK	229
255	BTRC
255	CCNA2
255	44
255	48
255	65
255	FBXW7
255	173
255	207
255	RBX1
255	SKP2
SMAD1	57
SMAD1	NUP153
SMAD1	224
SMAD1	257
SMAD1	SP1
SMAD1	STUB1
SMAD1	287
SMAD1	288
SMAD1	294
SMAD1	309
SMAD1	310
257	171
257	NUP153
257	202
257	224
257	SP1
257	SPEN
257	274
257	STAT2
257	275
257	STUB1
257	287
257	288
257	294
257	UBE2E1
257	309
SMARCB1	35
SMARCB1	48
SMARCB1	123
SMARCB1	170
SMARCB1	172
SMARCB1	260
SMARCB1	261
SMARCB1	262
SMARCB1	263
SMARCB1	294
SMARCB1	310
261	FOXO1A
261	123
261	124
261	125
261	172
261	PCAF
261	260
261	309
262	260
262	261
SMRT	CTBP1
SMRT	172
265	CDK9
265	170
265	176
265	NOTCH3
265	226
265	257
265	309
266	88
266	128
266	219
266	267
266	269
268	4
268	AKT1
268	CDK9
268	CSK
268	FYN
268	143
268	LYN
268	RIPK1
268	SRC
269	143
270	STAT5B
SP1	SPEN
SP1	STAT2
SP1	275
SP1	279
SPEN	274
SPRY2	LRP1
SRC	11
SRC	274
SRC	STAT2
SRC	275
SRC	STAT5B
SRC	WASL
273	55
273	57
273	118
274	4
274	171
274	183
274	219
274	224
274	STAT2
274	275
274	STAT5B
274	294
274	309
STAT2	4
STAT2	275
STAT2	STAT5B
275	35
275	170
275	187
275	219
STAT5B	4
STAT5B	NUP153
STAT5B	219
STAT5B	275
STAT5B	287
STAT5B	309
STUB1	287
278	260
278	279
278	ZNF259
T2BP	77
T2BP	173
